Pitch Sequence,Pitcher ID,At-Bat Outcome
SI,621107,field_error
"SI,CB,FC,SI,CB,SI,FF",621107,single
"ST,ST,SI,SI,ST,ST",676534,walk
"SI,ST,SI,ST,SI",687330,grounded_into_double_play
"FF,FF,FF,SL,FF,SL",477132,strikeout
"FF,FF,SL,FF,SL,SL",477132,strikeout
"FF,SL,CH,FF,CH,SL,FF,CH,CH,FF",656578,field_error
"FC,CH,CH,CH",608379,double_play
"FC,CH,FC",608379,field_out
"FC,FC,CH",608379,double
FF,657612,hit_by_pitch
FF,571656,field_out
"FF,FF,CH,FF,CB,FF",666157,walk
"FF,FF,FF,CB",666157,strikeout
FF,666157,field_out
"FC,FC,FF",543056,hit_by_pitch
"FF,FF,FF,FF,FS,FF,FF",642585,field_out
"FC,SI,SI",665152,field_out
ST,665152,double
"FF,CB,FF,FF,CB",672335,single
"FF,FF,SI,SI,SI,FS",593576,strikeout
"ST,SI,ST,CB",664353,field_out
SI,664353,field_out
"FF,SL,SL,FF,SL",669854,field_out
"SL,FF,SL,CH,FF,FF",571656,strikeout
"SI,FF,CB,CB,FF",666157,single
"CB,CB,CB,CB,FF",666157,single
"CB,CB,FF,CB",666157,field_out
"ST,FF,FC,FF,FC,ST,FF,CH",572403,field_out
"SL,FF,CB,FF,FF,FF",656427,strikeout
"SL,FC,SL,SL,SL,SL",656427,strikeout
"SI,SI,SI,SI,SI,SI",663855,walk
"CB,FC,CB,FF",518516,walk
"CH,CB",518516,field_out
"SI,FF,SL",656464,field_out
"SI,FC,SI,FC",672841,strikeout
"CB,CB,CH",665795,field_out
"CB,CH",665795,field_out
"CB,CB,SI",666129,field_out
"SL,FF,SL,FF,SL",666129,strikeout
"FF,FF,SL,FF",677053,field_out
"CB,CH,CB,SI,SL",666129,single
"CH,CB,FC,FC",518516,strikeout
"FF,CH,FC,FC,FC,CH,FC",518516,walk
"FC,CH,FC,FF",518516,caught_stealing_2b
FF,642121,home_run
"SL,FF,SL,SL",656464,double
"FF,FF,FS",592332,single
"FF,FF",592332,single
"SL,FF,FS,FF",592332,strikeout
SI,643256,field_out
"ST,SI,ST",493603,single
"SI,SL,SL,SL,SI,SL",642701,strikeout
"CB,SL,FF,FF,SL",656731,strikeout
"SL,SL,SL",656731,field_out
"SI,SI",666129,double
"FF,CH,CH,CH",607455,single
"ST,ST,FC,FC,FC,SI,SI",663658,strikeout
"SL,SL,CB",680686,field_out
FC,680686,field_out
"SI,FS,SL,SL,SL,SI",502171,strikeout
SL,502171,field_out
"SI,FC",573124,home_run
"SL,SL,SL,SL,SL",596001,strikeout
"FF,FC,FF,CH",518516,single
"FC,FF,FC",518516,field_out
"CB,FF,FF,FC,FC,FF,CH",518516,walk
"CH,FF,CH,FF,FF",642121,strikeout
"FF,FF,FS,FF,FF,FF",593576,walk
"FF,CH,CH,FF",642121,field_out
"SI,SI",672841,field_out
"SI,SL,SI,FS,SI",502171,strikeout
"SI,SL,SL,SI",502171,strikeout
"SL,SL",596001,double
"SL,SL,FF,FF,FF",605154,field_out
"SI,SI,SI,SI,SI",666808,walk
"FF,CH,CH,FF",608379,walk
"FF,FF,FF,FF",608379,walk
"FF,FC",608379,field_out
"SI,SI,SI,SI,SL",623352,strikeout
"FS,FS,CB,FS,FS,SI",502171,walk
"FS,SI,FS,SI,FS,SI",502171,strikeout
"SL,SL",596001,double
"FF,FF,SL,SL",605154,field_out
"SL,SL,FC,SL,SL,SL,FC,SL",666808,walk
"FS,SL,SI,SI,FS,SI,SI,SI",502171,fielders_choice
"SL,SI,SI",502171,home_run
"FC,ST,ST,ST",573124,field_out
"SI,SI,SL,SL",596001,field_out
"SI,SI",666808,grounded_into_double_play
"FC,FC",543243,field_out
SI,543243,field_out
"ST,FF,ST,ST,ST,SI",543243,double
"FF,SL,SL,CB",573204,single
"SL,FF,FF",656353,single
"FF,FF,CH,FF",607455,force_out
"FS,FF,FF,FS,FS,FF",665048,strikeout
"SL,SL,CB,CB,CB",680686,field_out
"FF,FC,FC",680686,home_run
"FF,SL",656353,single
"CB,CH",663776,field_out
"FF,CH,CH,SL,SL",663776,strikeout
"SI,SI,SI,SI",605280,single
"CH,CH,CH",650633,double
"CH,SL,FF,CH",656061,field_out
"FC,ST,FC,ST,CB",657376,strikeout
"FC,FC,CB,FC",657376,home_run
"FC,FC,CB,CB,FF,FF",608379,double
FF,608379,field_out
FC,608379,home_run
"FF,FF",657612,field_out
"FC,FF",554430,single
"FC,ST",554430,sac_fly
"FF,FF",622554,single
"SL,SL,FF,FF",628708,strikeout
"FC,SL",641540,field_out
"FC,FC,SI,SI,SL,SL",666808,strikeout
"CB,SI,CH,FF,FF,CH",605540,strikeout
"FF,FF,SI,CH",605540,strikeout
"SL,FF,CH,FF,SL,CH,FF,SL,CH",657265,field_out
"CB,FF,FF,CB",554430,field_out
"FC,FF,FC,FF,ST,FF",554430,field_out
"FF,CH,CH,CH,FF",622554,single
"SL,SL,FF,SL,SL,SL,FF,SI",628708,walk
"FF,SL,FF",660261,field_out
"SL,SL,SL,FS",660261,sac_fly
"FC,CB,CB",670124,field_out
"FF,CB,CB",670124,field_out
"FF,FF,FF",543281,sac_fly
"FF,FF",554430,home_run
"ST,ST,FF,FF,SI",554430,field_out
"SI,ST,FC",554430,strikeout
"SI,FC,FC",621237,strikeout
"SL,SL,FF,SL,SI",622554,fielders_choice
"FF,FF",656427,field_out
"CH,SL",656427,grounded_into_double_play
"FF,FF,FF",656427,strikeout
"FF,SL,FF",664854,strikeout
"FF,SL,SL,FF,FF",669467,force_out
"FF,SI",543475,single
"FF,ST,ST",543475,single
"CB,CH",642232,field_out
FF,650644,field_out
"FF,FC",650644,field_out
"FC,CB",650644,field_out
FC,661403,field_out
"FF,FS,FS",489446,field_out
"FF,FF,FS,FS",660261,strikeout
"FF,FF,FF,FS,FF",660261,walk
"CB,CB,FC,CB",670124,field_out
"FF,FF,CH,CB,FC",670124,double
"CB,FF,FF,CB",670124,force_out
"CH,CH,CH,SI,CH",593974,force_out
"SI,ST,ST",650633,strikeout
"SI,SI,SI",656061,strikeout
"SI,ST,FC,SI,ST,ST",657376,strikeout
"SL,SL,SL",523260,single
"CH,SL,FF,FF,CH,FF,SL",608337,strikeout
"SL,FF,SL,FF,CH",608337,strikeout
"FF,SL,CH,CH,SL",608337,strikeout
"SI,SI",666619,single
"FC,CH,CH",608379,field_out
FC,608379,double
"CH,FF,CH,CH",608379,field_out
"SL,SI,SI,SI",623352,field_out
"CB,FF,CB,FF,CB,CB",598264,field_out
"CH,FF",665795,sac_fly
"CH,CB,FF,CH",665795,single
"SI,SL,SI",666129,single
SL,666129,fielders_choice_out
"FC,CB,FF,FC,CB",650644,field_out
"FF,CB,FF,FC",650644,strikeout
"FF,FC,CB,FF,CB,FC,FF,FC,FC,FC",650644,strikeout
"FC,FC,SL,FC",661403,strikeout
"CH,CH",594580,field_out
"SL,SL",660261,single
"FF,CB,CB",670124,single
"FF,FC,CB,FF",670124,walk
"FF,FC",670124,single
"SL,FS,FF,FF",592332,strikeout
FS,592332,field_error
"FF,FS,FF,FS,FS",592332,field_out
"SL,FF,FF,FS",657024,single
"FF,FF,CH,FF,CB,FF,CH,FF",605540,strikeout
FF,605540,field_out
"FF,FF,SI",547973,strikeout
"FF,FF,CH",642232,sac_fly
"FF,CB",608723,home_run
"FF,FF,FF,CB,FF,FF",657508,field_out
"FF,FF,ST,ST,CB,FF",665152,walk
"SL,FF,FF,FF",670810,hit_by_pitch
"SI,ST,ST,SI,SI",594580,walk
"FF,FC,FS,FS",660261,strikeout
"FC,FC,FF",660261,single
"FF,FF,CB,CB,FF,FC",670124,strikeout
"FC,CH,CH,FF",670124,field_out
CB,518516,hit_by_pitch
"FC,CB",518516,field_out
"CH,FF,CH,CH,FF",642121,strikeout
"SL,SL,SI,SL,SL",656464,strikeout
"FF,CB,FF,CB",448179,strikeout
"CB,FF,CB,SI",448179,strikeout
"SL,SL,FF,FF",608328,walk
"FF,CH,CH",669796,field_out
"ST,FF,CB,CB,FF,FF",543475,double_play
"ST,ST",543475,field_out
CH,642232,field_out
"CB,CH",518516,home_run
"CB,FC,FF,CB,CH,FC,CB,FF",518516,strikeout
"SI,SL,FF",656464,home_run
"FC,SI,FC",672841,home_run
FC,621074,force_out
"FF,FF,SL,SL,FF,FF",657006,strikeout
"SL,CH,FF,SL",657006,strikeout
"FC,FF,FC,FF,SI,FC",665871,field_out
"FF,FF,CH,FF,SL",477132,home_run
"SL,SL,CB,FF,CB",477132,single
"FF,CH,FF,CH,CH",656578,field_out
"SI,SI,SI,SI",570632,walk
"SI,SI,CH,SI,SL,SI,CH,CH",570632,double
"SI,FC,FC,CB,SI",621389,single
"SI,SI,SI,FC",656234,field_out
"FF,FF,FF,FF",675911,strikeout
"FF,FF,FF,FF",675911,walk
"FF,CH,FF,FF,FF,FF,CH",675911,strikeout
"SI,SI,SI,SI",605280,double
"ST,FF,ST,CH",650633,force_out
"FF,CH,SI,SI,CH,SI",656061,strikeout
"ST,FC,ST,CB,CB,ST",657376,strikeout
"SI,ST,FC,FC",657376,double
"FF,CH,FF",608379,single
"FF,FF",608379,field_out
"FF,CB,CH,SI,FF",608379,walk
"ST,FF,ST",621051,field_out
"CB,FF,FF,SL,CH,CB,FF",665795,double
"CB,CH,FF,FF,CH",665795,walk
"SI,CH,FF",666129,home_run
CB,666129,field_out
FF,677053,single
FF,448179,field_out
"CB,FF",448179,field_out
"SL,FF",608328,field_out
"FC,SL,FF,FS,FS,FF",543135,strikeout
"FF,FC,FS,FF",543135,double
"FF,SI,SL",641540,field_out
"CB,FC,CH,SI,SI",641540,double
"SL,FS,FS,FS,SI,SI",502171,single
"SL,SL,SI,SL",502171,strikeout
SL,596001,single
"FF,FF,CH",605154,field_out
SI,666808,single
"SI,SI,FF,SL,SL,SI,SI,SI",570632,walk
"SL,CH,SL",570632,field_out
"CH,SI,CH",621389,single
"SI,SI,SI,CB",656234,single
"SL,SL,SL",659275,strikeout
"SI,SI",605280,single
"SI,CH,CH,FF,CH,CH",650633,walk
"CH,CH,FF,SI,FF",650633,strikeout
"FC,FC,FC,FC",657376,strikeout
"FC,CB,CB,FC,CB,ST,ST,FC,FC,ST",657376,home_run
"FC,FC",543135,single
"FF,CB,FC,FF,FF",543135,walk
"FF,FF,FF",543135,field_out
"SL,SL,SI,SI",544727,field_out
"SL,SL,FF,ST,FS",660261,strikeout
"SL,FF,FS,FS,FF,SL",660261,walk
"FF,FF,CB,CB,FF",670124,field_out
FC,670124,force_out
"FF,FF,FF",607455,strikeout
"SI,ST",663658,field_out
"FF,FF,CB,CB",680686,field_out
"FF,SI,FC,FC,SL",680686,strikeout
"FC,FC,ST,CH",605242,strikeout
"SL,SL,SL,SI",657006,single
"FF,SL,SL,SL",657006,strikeout
"SL,SL,FF,SL,SL,FF",657006,strikeout
"SI,SL,FF",570632,home_run
"SI,SI",570632,field_out
"SI,CH,SI,SI,FC",621389,walk
"FC,FC,FC,SI,FC",656234,field_out
"FF,SL,SL,SL,FF",659275,walk
"FF,CB,FF,CB,FF,FF",608723,field_out
"FF,FF",642585,home_run
"ST,FC,SI,FF,SI,FF",665152,triple
"SI,FC",665152,home_run
"SI,CB,FF",672335,double
"FF,FC",656427,field_out
"FC,FF,SL,SL,FF,SL",656427,field_out
FF,664854,single
SL,669467,single
"SI,FC,SI,FC,CB",621107,strikeout
"CB,SI,FC",621107,field_out
"SI,SI,ST",687330,field_out
"CB,FC,CB,FC,FF,FS,FC",543135,walk
"FS,FF,FC,CB",543135,strikeout
"FF,FF,SL",621368,field_out
"CB,FC,CH,CH",641540,field_out
"SL,SL,SI",650895,field_out
"FF,FF,SL",669302,strikeout
"FF,FF,SL,SL,SL",669302,strikeout
"FF,ST",664139,field_out
"FF,FF,CB,CB,CB,SI,FF",666157,field_out
"CB,FF,CB,CB",666157,strikeout
"CB,CB,FF,CB",598264,strikeout
"CB,FF,FF",665795,field_out
"CB,CH,FF,CH",665795,field_out
"CH,CH,FF,CH,CB,CB",665795,strikeout
CB,666129,double
"SI,CH",570632,field_out
FC,621389,double_play
FC,621389,field_out
"FF,SL,FF,FF",659275,walk
"SI,SI,FC",641540,field_out
"FF,CB,CB,FF,CH",665795,force_out
"FF,CH,CB,CB",665795,strikeout
"SI,SI,SL,SI,SL",666129,field_out
"FF,FF,SL,FF,SL,SL,FF",677053,field_out
"FF,FF,FF,FF,FF",543475,field_out
FF,543475,field_out
"FF,FF,FF",543475,field_out
"CB,CB,FF,CB,FF",642232,field_out
"FF,FF",664747,field_out
"FF,FS,FC,FF,CB",650644,strikeout
"FF,FC,FC,FF,CB",650644,field_out
"FF,FF,FF,CB,CB,CB",675916,double
"FS,FS",489446,field_out
"CB,CB,CB",623433,strikeout
"SL,FF,SL,FF",675911,strikeout
FF,675911,field_out
"FF,SI",608379,field_out
"FC,CB,FF,CH,FC",608379,field_out
"CB,CB,SI,SI",608379,field_out
"ST,FF,ST",621051,strikeout
"FF,FC,FF,ST",455119,strikeout
"FF,FF,CH,FF,SL",519242,strikeout
"CH,SI,SL,FF,FF",519242,strikeout
"CH,FF,CH,CH",519242,strikeout
"SI,FC,FC,SI,FC",670174,strikeout
"SL,SL,CB,FF",477132,strikeout
"SL,FF,CB",477132,single
"FF,FF",656578,field_out
"SI,CB,SI,SI,SI",643410,walk
"FF,CB,SL,SL,FF",657006,field_out
"CB,FF,SL,FF,SL",657006,field_out
FC,665871,single
"CH,FC,CH,FC,CH,FC",518516,field_out
"FC,CH,FF,CB,FC",518516,field_out
"FF,FF,FF",642121,field_out
"SI,SI,SI,FF",672841,strikeout
"FF,CB,SL,FF,SL,SL",669302,walk
"FF,FF",669302,field_out
"FF,FS,FS",669302,strikeout
"ST,ST,FF,FF,FF",670036,walk
"FF,FF,FC,CH,CB",518516,double
"CB,FC,FF",518516,field_out
"FF,FF,FC,CH,FF,CB",518516,field_out
"SI,ST,SI",663658,single
"FF,FS,FC,FS",665048,single
"FF,SL,CB",680686,single
"SL,SI,FC,SL",680686,field_out
"CB,FF,CB",670810,field_out
"FF,FC,CB,FC,FC,FF,SI",650644,walk
FC,650644,field_out
"FF,CB,CB,CB,CB",675916,field_out
"FF,SL,CB",477132,field_out
"SL,FF,SL,CB",477132,strikeout
"FF,CB,SL",477132,field_out
CH,656578,field_out
"SI,SI,FC",621107,field_out
"CB,SI",621107,field_out
"SI,SI,SI,ST,ST,SI",676534,force_out
ST,687330,field_out
"FF,FF,CB,FF,CB",598264,single
"FF,CB,CH,FF,FF,CH,FF",665795,walk
